RAWfilename	Latitude	Longitude	Date_Time	Pressure [dbar]	Vol [L] (sampled for this depth bin)	Flux_mgC_m2	Flux_mgC_m2_from0.1200sizeclass_eta0.62_b66	Flux_mgC_m2_from0.0254sizeclass_eta0.62_b132	Flux_mgC_m2_from0.0254sizeclass_eta0.62_b66	Flux_MiP_mgC_m2	Flux_MaP_mgC_m2	Flux_MiP_mgC_m2_from0.1200sizeclass_eta0.62_b66	Flux_MaP_mgC_m2_eta0.62_b66	Flux_MiP_mgC_m2_from0.0254sizeclass_eta0.62_b132	Flux_MiP_mgC_m2_from0.0254sizeclass_eta0.62_b66	MiP_abun	MaP_abun	Mip_POC_cont_mgC_m3	Map_POC_cont_mgC_m3	Mip_POC_cont_mgC_m3_extendendTo0.0254sizeclass	Respi_nmolO2_l_h	Respi_Iversen_nmolO2_l_h	Respi_Reminer_kRemPoc0013_nmolO2_l_h	Respi_Reminer_kRemPoc0003_nmolO2_l_h	Respi_Reminer_kRemPoc0031_nmolO2_l_h	Respi_Reminer_kRemPoc0100_nmolO2_l_h	Respi_Reminer_kRemPoc0500_nmolO2_l_h	Respi_nmolO2_l_h_from0.0254sizeclass	Respi_Iversen_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0013_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0003_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0031_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0100_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0500_nmolO2_l_h_from0.0254sizeclass
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	7.5	27.0	21.17	10.585	50.461	25.231	15.551	5.0653	7.7754	2.5326	44.843	22.421	60.334	0.25926	1.6635	0.1492	9.3879	3.5889	3.5889	0.30829	0.071143	0.73514	2.3714	11.857	14.68	14.68	1.8933	0.43691	4.5147	14.564	72.818
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	12.5	22.2	15.594	7.7969	52.038	26.019	12.659	2.2613	6.3297	1.1307	49.103	24.552	54.054	0.18019	1.4201	0.076694	11.774	2.9276	2.9276	0.25872	0.059705	0.61695	1.9902	9.9509	17.699	17.699	2.3912	0.55181	5.702	18.394	91.968
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	17.5	21.6	17.509	8.7544	39.262	19.631	12.529	4.288	6.2645	2.144	34.282	17.141	51.621	0.27778	1.3844	0.13244	6.8164	3.0183	3.0183	0.25988	0.059971	0.6197	1.999	9.9952	10.847	10.847	1.3717	0.31654	3.2709	10.551	52.756
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	22.5	21.0	18.906	9.453	36.707	18.353	12.261	6.4076	6.1306	3.2038	30.062	15.031	52.952	0.28571	1.3882	0.17425	5.545	3.0981	3.0981	0.2633	0.060762	0.62787	2.0254	10.127	9.1081	9.1081	1.113	0.25684	2.654	8.5612	42.806
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	27.5	19.8	19.308	9.6542	42.457	21.228	13.365	5.4403	6.6825	2.7202	36.514	18.257	56.112	0.30303	1.4901	0.16232	7.2093	3.2818	3.2818	0.28087	0.064817	0.66977	2.1606	10.803	11.527	11.527	1.4521	0.33511	3.4628	11.17	55.852
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	32.5	41.4	15.097	7.5486	56.644	28.322	12.514	1.9812	6.2572	0.99059	54.061	27.03	53.599	0.14493	1.4073	0.065052	13.588	2.8675	2.8675	0.25459	0.058751	0.60709	1.9584	9.7918	20.208	20.208	2.7686	0.63892	6.6021	21.297	106.49
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	37.5	19.2	22.644	11.322	39.703	19.851	13.986	7.6204	6.9932	3.8102	31.045	15.522	56.198	0.26042	1.52	0.19368	5.415	3.498	3.498	0.29304	0.067624	0.69878	2.2541	11.271	9.1523	9.1523	1.0875	0.25097	2.5933	8.3656	41.828
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	47.5	19.2	23.807	11.903	43.833	21.917	14.858	8.1709	7.4289	4.0854	34.884	17.442	55.417	0.36459	1.5575	0.22952	6.3165	3.6457	3.6457	0.30196	0.069683	0.72006	2.3228	11.614	10.54	10.54	1.2743	0.29406	3.0387	9.8021	49.011
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	52.5	19.2	14.693	7.3465	62.984	31.492	12.981	1.4528	6.4904	0.72639	61.272	30.636	54.01	0.10417	1.4419	0.048054	16.029	2.8608	2.8608	0.25574	0.059018	0.60985	1.9673	9.8363	23.584	23.584	3.273	0.75532	7.8049	25.177	125.89
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	57.5	21.0	20.419	10.21	55.339	27.67	15.776	3.6946	7.8879	1.8473	50.696	25.348	60.095	0.2381	1.6697	0.11631	11.14	3.561	3.561	0.30746	0.070952	0.73317	2.3651	11.825	17.144	17.144	2.2548	0.52035	5.3769	17.345	86.724
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	62.5	18.6	16.33	8.1648	42.673	21.336	13.181	2.8812	6.5903	1.4406	39.524	19.762	54.731	0.10753	1.461	0.077599	8.4204	2.9838	2.9838	0.26282	0.06065	0.62672	2.0217	10.108	12.972	12.972	1.6931	0.39071	4.0373	13.024	65.118
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	67.5	38.4	18.217	9.1087	36.289	18.144	12.899	4.9293	6.4495	2.4647	30.971	15.485	55.26	0.23438	1.4529	0.12774	5.7004	3.1105	3.1105	0.26936	0.062159	0.64231	2.072	10.36	9.2525	9.2525	1.138	0.26261	2.7136	8.7537	43.769
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	77.5	19.2	16.696	8.3479	43.141	21.571	13.15	3.5456	6.5751	1.7728	39.595	19.798	55.26	0.26042	1.4594	0.11624	8.36	3.0363	3.0363	0.26665	0.061534	0.63585	2.0511	10.256	12.955	12.955	1.6824	0.38824	4.0118	12.941	64.707
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	82.5	21.0	15.521	7.7604	81.965	40.982	13.747	1.0623	6.8735	0.53113	80.191	40.095	57.19	0.095238	1.5204	0.037141	22.673	3.0208	3.0208	0.27053	0.062429	0.6451	2.081	10.405	32.924	32.924	4.6521	1.0736	11.094	35.786	178.93
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	87.5	20.4	15.31	7.6549	67.614	33.807	13.514	0.81974	6.7568	0.40987	65.818	32.909	55.539	0.098039	1.4931	0.03124	17.234	2.9874	2.9874	0.26642	0.061483	0.63532	2.0494	10.247	25.35	25.35	3.5172	0.81166	8.3872	27.055	135.28
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	92.5	23.4	15.721	7.8604	40.243	20.121	12.077	3.0048	6.0387	1.5024	36.599	18.3	51.88	0.17094	1.3614	0.088916	7.7413	2.8529	2.8529	0.24962	0.057605	0.59525	1.9202	9.6009	12.007	12.007	1.5576	0.35945	3.7143	11.982	59.909
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	97.5	34.2	20.63	10.315	39.684	19.842	13.645	6.4019	6.8226	3.201	32.7	16.35	54.386	0.20468	1.4775	0.15453	5.9943	3.2768	3.2768	0.27618	0.063733	0.65857	2.1244	10.622	9.7968	9.7968	1.1977	0.2764	2.8561	9.2132	46.066
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	107.5	17.4	18.409	9.2047	34.391	17.195	12.482	4.782	6.2412	2.391	28.464	14.232	55.058	0.17241	1.4313	0.11866	4.9816	3.1183	3.1183	0.2685	0.061961	0.64026	2.0654	10.327	8.2615	8.2615	0.9905	0.22858	2.362	7.6192	38.096
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	117.5	19.2	14.951	7.4754	53.079	26.54	13.042	0.87101	6.5211	0.4355	51.171	25.585	52.812	0.10417	1.4161	0.033193	12.369	2.8514	2.8514	0.25328	0.058449	0.60398	1.9483	9.7415	18.455	18.455	2.5044	0.57793	5.972	19.264	96.322
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	127.5	19.8	14.535	7.2675	48.161	24.081	11.387	2.3935	5.6934	1.1968	45.013	22.507	53.435	0.25252	1.3523	0.087671	10.611	2.8185	2.8185	0.2494	0.057555	0.59473	1.9185	9.5925	16.034	16.034	2.1504	0.49624	5.1278	16.541	82.706
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	137.5	18.6	13.153	6.5766	44.323	22.162	10.725	2.1603	5.3625	1.0802	41.895	20.948	49.624	0.16129	1.2665	0.07039	10.099	2.5628	2.5628	0.22845	0.052719	0.54476	1.7573	8.7865	15.116	15.116	2.0401	0.47079	4.8648	15.693	78.465
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	147.5	19.8	16.111	8.0555	48.08	24.04	12.289	2.8159	6.1445	1.4079	44.258	22.129	52.727	0.30303	1.3867	0.10377	10.122	2.9386	2.9386	0.25534	0.058924	0.60888	1.9641	9.8207	15.341	15.341	2.0244	0.46718	4.8275	15.573	77.863
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	157.5	21.0	14.836	7.4181	45.746	22.873	11.631	2.2568	5.8153	1.1284	42.541	21.27	49.142	0.2381	1.3035	0.082663	9.7963	2.5988	2.5988	0.21731	0.050147	0.51819	1.6716	8.3579	14.068	14.068	1.7904	0.41316	4.2693	13.772	68.86
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	167.5	22.2	7.6655	3.8328	25.623	12.811	5.7633	1.0048	2.8817	0.50242	23.72	11.86	30.045	0.09009	0.73387	0.035133	5.5875	1.3077	1.3077	0.10166	0.02346	0.24242	0.78201	3.91	7.1787	7.1787	0.84044	0.19395	2.0041	6.4649	32.325
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	177.5	19.8	7.3806	3.6903	18.953	9.4763	5.0189	1.6071	2.5094	0.80355	16.591	8.2954	28.989	0.10101	0.67992	0.05003	3.4884	1.2002	1.2002	0.090831	0.020961	0.2166	0.6987	3.4935	4.5135	4.5135	0.49419	0.11404	1.1785	3.8015	19.007
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	187.5	18.0	10.63	5.3152	17.676	8.8379	5.6974	4.933	2.8487	2.4665	12.743	6.3714	30.334	0.16667	0.73078	0.12263	2.0566	1.3106	1.3106	0.089705	0.020701	0.21391	0.69004	3.4502	2.8078	2.8078	0.25911	0.059795	0.61788	1.9932	9.9658
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	197.5	16.8	6.9331	3.4666	29.684	14.842	5.6412	0.99542	2.8206	0.49771	28.393	14.196	32.024	0.11905	0.75183	0.037935	7.3031	1.1556	1.1556	0.084626	0.019529	0.2018	0.65097	3.2549	8.2712	8.2712	0.91631	0.21146	2.1851	7.0486	35.243
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	207.5	17.4	4.5621	2.281	73.358	36.679	4.5621	0.0	2.281	0.0	73.358	36.679	30.114	0.0	0.67136	0.0	25.208	0.88614	0.88614	0.064496	0.014884	0.1538	0.49612	2.4806	25.581	25.581	2.8882	0.66652	6.8874	22.217	111.09
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	217.5	18.0	6.2739	3.1369	15.993	7.9966	4.506	1.7678	2.253	0.88391	14.225	7.1127	28.944	0.11111	0.64956	0.055033	2.8522	0.92938	0.92938	0.063019	0.014543	0.15028	0.48476	2.4238	3.1462	3.1462	0.2982	0.068816	0.7111	2.2939	11.469
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	227.5	18.6	5.5605	2.7803	24.315	12.157	4.5755	0.44953	2.2877	0.22477	23.33	11.665	27.15	0.053763	0.6292	0.017131	5.8917	0.86285	0.86285	0.058336	0.013462	0.13911	0.44874	2.2437	6.0112	6.0112	0.60813	0.14034	1.4502	4.678	23.39
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	237.5	19.2	6.8495	3.4248	20.938	10.469	5.3683	1.2218	2.6841	0.61091	19.457	9.7286	32.187	0.052083	0.74034	0.034997	4.2783	0.99094	0.99094	0.064971	0.014993	0.15493	0.49977	2.4989	4.3748	4.3748	0.41502	0.095774	0.98967	3.1925	15.962
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	247.5	19.2	5.6407	2.8204	28.685	14.343	4.6864	0.43549	2.3432	0.21774	27.731	13.865	28.698	0.052083	0.6593	0.016596	7.5068	0.84826	0.84826	0.055269	0.012754	0.1318	0.42515	2.1257	7.1595	7.1595	0.70542	0.16279	1.6822	5.4263	27.132
