pprojid	profileid	filename	date_time	latitude	longitude	psampleid	depth	watervolume	class01	class02	class03	class04	class05	class06	class07	class08	class09	class10	class11	class12	class13	class14	class15	class16	class18	class19	class20	class21	class22	class23	class24	class25	class26	class27	class28	class29	class30	class31	class32	class33	class34	class35	class36	class37	class38	class39	class40	class41	class42	class43	class44	class45	biovol01	biovol02	biovol03	biovol04	biovol05	biovol06	biovol07	biovol08	biovol09	biovol10	biovol11	biovol12	biovol13	biovol14	biovol15	biovol16	biovol17	biovol18	biovol19	biovol20	biovol21	biovol22	biovol23	biovol24	biovol25	biovol26	biovol27	biovol28	biovol29	biovol30	biovol31	biovol32	biovol33	biovol34	biovol35	biovol36	biovol37	biovol38	biovol39	biovol40	biovol41	biovol42	biovol43	biovol44	biovol45
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	2.5	0.0																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	7.5	27.0																	0	0	8449	594	481	373	111	40	23	7	3	1	3	2	1	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	12.5	22.2																	0	0	6647	467	380	250	63	22	11	7	3	1	3	0	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	17.5	21.6																	0	0	6613	435	336	229	69	27	15	4	3	3	2	0	1	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	22.5	21.0																	0	0	6484	457	351	193	69	23	14	5	1	2	2	1	0	1	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	27.5	19.8																	0	0	6155	457	325	227	58	23	13	8	2	2	2	1	1	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	32.5	41.4																	0	0	12722	857	723	434	126	47	24	8	5	2	3	1	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	37.5	19.2																	0	0	5912	391	341	240	63	27	13	4	4	2	0	1	1	1	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	47.5	19.2																	0	0	6034	399	303	235	72	31	16	8	3	2	1	2	2	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	52.5	19.2																	0	0	5858	400	327	199	66	30	13	2	1	0	2	0	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	57.5	21.0																	0	0	6422	476	369	279	76	31	23	8	4	2	1	2	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	62.5	18.6																	0	0	5511	388	312	219	60	23	13	3	1	0	1	0	1	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	67.5	38.4																	0	0	11809	823	664	439	124	44	20	8	3	6	2	0	0	0	1																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	77.5	19.2																	0	0	5908	397	349	222	60	16	11	6	0	2	2	1	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	82.5	21.0																	0	0	6410	442	406	238	66	28	20	1	3	1	1	0	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	87.5	20.4																	0	0	6251	445	339	223	79	29	14	4	4	2	0	0	0	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	92.5	23.4																	0	0	7064	489	368	247	75	16	10	9	3	2	1	0	1	0	0																																																								
356	ensuse001b-035-02-ASC	ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	2021-09-05 21:20:25	-35.441	7.419	31725	97.5	34.2																	0	0	10612	748	541	377	122	30	23	19	4	2	2	1	1	0	1																																																								
