RAWfilename	Latitude	Longitude	Date_Time	Pressure [dbar]	Vol [L] (sampled for this depth bin)	MiP_abun	MaP_abun	Mip_POC_cont_mgC_m3	Map_POC_cont_mgC_m3	Flux_mgC_m2	Respi_nmolO2_l_h	Respi_Iversen_nmolO2_l_h	Respi_Reminer_nmolO2_l_h	Depth [m]	Potential density [kg/m3]	Temperature [degrees Celsius]	Practical salinity [psu]	Doxy [micromol/kg]	Chlorophyll-a [mg/m3]	bbp POC [mgC/m3]
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463940000.0	2.4818394	1026.2767	15.399531	35.505634	243.49754	0.21535	12.697811
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	7.5	27.0	60.334	0.25926	1.6635	0.1492	21.17	3.5889	3.5889	463940000.0	7.445428	1026.2745	15.404291	35.504	243.39014	0.21535	62.910583
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	12.5	22.2	54.054	0.18019	1.4201	0.076694	15.594	2.9276	2.9276	463940000.0	12.4088955	1026.275	15.402848	35.504	243.37154	0.21535	8.788706
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	17.5	21.6	51.621	0.27778	1.3844	0.13244	17.509	3.0183	3.0183	463940000.0	17.372242	1026.2751	15.403236	35.504	243.44632	0.21535	9.302715
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	22.5	21.0	52.952	0.28571	1.3882	0.17425	18.906	3.0981	3.0981	463940000.0	22.33547	1026.275	15.407192	35.50477	243.44641	0.21535	9.597698
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	27.5	19.8	56.112	0.30303	1.4901	0.16232	19.308	3.2818	3.2818	463940000.0	27.298578	1026.2753	15.407951	35.505	243.49252	0.21535	8.793374
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	32.5	41.4	53.599	0.14493	1.4073	0.065052	15.097	2.8675	2.8675	463940000.0	32.261562	1026.275	15.407142	35.50421	243.46474	0.21535	8.446913
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	37.5	19.2	56.198	0.26042	1.52	0.19368	22.644	3.498	3.498	463940000.0	37.22443	1026.2751	15.40978	35.505	243.52058	0.21535	10.096172
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	47.5	19.2	55.417	0.36459	1.5575	0.22952	23.807	3.6457	3.6457	463940000.0	47.149803	1026.275	15.411926	35.505	243.4042	0.21535	11.936263
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	52.5	19.2	54.01	0.10417	1.4419	0.048054	14.693	2.8608	2.8608	463940000.0	52.11231	1026.275	15.412609	35.505	243.30885	0.21776323	9.328223
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	57.5	21.0	60.095	0.2381	1.6697	0.11631	20.419	3.561	3.561	463940000.0	57.074696	1026.2753	15.412701	35.505	243.20944	0.22815266	9.329733
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	62.5	18.6	54.731	0.10753	1.461	0.077599	16.33	2.9838	2.9838	463940000.0	62.036964	1026.2754	15.41175	35.504745	243.17159	0.23572917	9.749088
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	67.5	38.4	55.26	0.23438	1.4529	0.12774	18.217	3.1105	3.1105	463940000.0	66.99911	1026.2753	15.4107	35.504	243.02086	0.2231025	10.289697
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	77.5	19.2	55.26	0.26042	1.4594	0.11624	16.696	3.0363	3.0363	463940000.0	76.923035	1026.2756	15.4072	35.503	242.65656	0.22922185	10.423939
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	82.5	21.0	57.19	0.095238	1.5204	0.037141	15.521	3.0208	3.0208	463940000.0	81.88482	1026.2761	15.403186	35.502274	242.53012	0.21037272	9.888394
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	87.5	20.4	55.539	0.098039	1.4931	0.03124	15.31	2.9874	2.9874	463940000.0	86.84648	1026.2753	15.403393	35.501	242.2376	0.22497272	8.649187
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	92.5	23.4	51.88	0.17094	1.3614	0.088916	15.721	2.8529	2.8529	463940000.0	91.80803	1026.2759	15.396621	35.499496	241.98463	0.20951	10.913599
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	97.5	34.2	54.386	0.20468	1.4775	0.15453	20.63	3.2768	3.2768	463940000.0	96.769455	1026.2761	15.390206	35.497803	241.74715	0.19842727	9.989592
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	107.5	17.4	55.058	0.17241	1.4313	0.11866	18.409	3.1183	3.1183	463940000.0	106.69194	1026.2772	15.38442	35.497	241.42273	0.20710985	10.450087
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	117.5	19.2	52.812	0.10417	1.4161	0.033193	14.951	2.8514	2.8514	463940000.0	116.61395	1026.2775	15.3845825	35.497	240.89838	0.20252854	9.36747
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	127.5	19.8	53.435	0.25252	1.3523	0.087671	14.535	2.8185	2.8185	463940000.0	126.53548	1026.2771	15.385314	35.496273	239.11165	0.20508778	13.114678
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	137.5	18.6	49.624	0.16129	1.2665	0.07039	13.153	2.5628	2.5628	463940000.0	136.45651	1026.2764	15.364296	35.488758	234.62665	0.19538935	9.808965
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	147.5	19.8	52.727	0.30303	1.3867	0.10377	16.111	2.9386	2.9386	463940000.0	146.37709	1026.2808	15.285059	35.471085	223.80893	0.16608112	9.595813
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	157.5	21.0	49.142	0.2381	1.3035	0.082663	14.836	2.5988	2.5988	463940000.0	156.29718	1026.3345	14.569736	35.33686	199.5692	0.06971055	0.17353581
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	167.5	22.2	30.045	0.09009	0.73387	0.035133	7.6655	1.3077	1.3077	463940000.0	166.2168	1026.4751	12.997156	35.09503	189.83731	0.0	0.0
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	177.5	19.8	28.989	0.10101	0.67992	0.05003	7.3806	1.2002	1.2002	463940000.0	176.13591	1026.5243	12.560012	35.046375	183.98474	-0.0033181636	0.0
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	187.5	18.0	30.334	0.16667	0.73078	0.12263	10.63	1.3106	1.3106	463940000.0	186.05458	1026.6104	11.70545	34.945797	179.81837	0.003040215	0.0
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	197.5	16.8	32.024	0.11905	0.75183	0.037935	6.9331	1.1556	1.1556	463940000.0	195.97273	1026.6234	11.521659	34.918163	178.32607	0.0	0.0
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	207.5	17.4	30.114	0.0	0.67136	0.0	4.5621	0.88614	0.88614	463940000.0	205.89043	1026.7155	10.658182	34.83503	180.33508	-0.0072999997	0.0
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	217.5	18.0	28.944	0.11111	0.64956	0.055033	6.2739	0.92938	0.92938	463940000.0	215.80765	1026.758	10.212522	34.789673	181.37875	-0.00365	0.909365
