lat_cont1,lat_cont2,lat_cont3,lat_cont4,lat_cont5,lat_cont6,lat_cont7,lat_cont8,lat_cont9,lat_cont10,lat_cont11,lat_cont12,lat_cont13,lat_cont14,lat_cont15,lat_cont16,lat_cont17,lat_cont18,lat_cont19,lat_cont20,lat_cont21,lat_cont22,lat_cont23,lat_cont24,lat_cont25,lat_cont26,lat_cont27,lat_cont28,lat_cont29,lat_cont30,lat_cont31,lat_cont32,lat_cont33,lat_cont34,lat_cont35,lat_cont36,lat_cont37,lat_cont38,lat_cont39,lat_cont40,lat_cont41,lat_cont42,lat_cont43,lat_cont44,lat_cont45,lat_cont46,lat_cont47,lat_cont48,lat_cont49,lat_cont50,lat_cont51,lat_cont52,lat_cont53,lat_cont54,lat_cont55,lat_cont56,lat_cont57,lat_cont58,lat_cont59,lat_cont60,lat_cont61,lat_cont62,lat_cont63,lat_cont64,lat_cont65,lat_cont66,lat_cont67,lat_cont68,lat_cont69,lat_cont70,lat_cont71,lat_cont72,lat_cont73,lat_cont74,lat_cont75,lat_cont76,lat_cont77,lat_cont78,lat_cont79,lat_cont80,lat_cont81,lat_cont82,lat_cont83,lat_cont84,lat_cont85,lat_cont86,lat_cont87,lat_cont88,lat_cont89,lat_cont90,lat_cont91,lat_cont92,lat_cont93,lat_cont94,lat_cont95,lat_cont96,lat_cont97,lat_cont98
-36.3764772326748,-36.3435539970007,-36.5313804113187,-36.4373774814534,-36.3186302461781,-36.4333742417486,-36.5799967261365,-36.7128819277323,-37.0315861369517,-36.5080279941365,-36.482740494568,-36.5919558849096,-36.4330177663558,-36.4008726439652,-36.9183390007204,-36.9970773677894,-36.8784428418555,-37.0270542972293,-36.9089585895634,-36.9472606917643,-36.912884177331,-37.0474840208447,-37.0932106411249,-37.094106259754,-37.2065884554774,-37.3033537931255,-36.9929966867363,-37.405079208767,-36.6290176902457,-37.4760027778092,-37.4558665667346,-37.298287119733,-36.4738917923022,-36.2718578041047,-36.2275275546879,-36.2750002666739,-36.3220072307929,-36.1588941667451,-36.1639902382731,-36.4457486308508,-36.7827217616988,-36.7427226158176,-36.6077366922996,-36.8424128266505,-36.8278492160544,-36.8716279415333,-36.8244221266938,-36.8059482790619,-36.5955266223653,-36.5558025918433,-36.5181952997606,-36.4837470637921,-36.5729325267891,-36.4952557603394,-36.4033186300203,-36.3396191298228,-36.3171597043781,-36.3625004737626,-36.4693897459348,-36.3195896750964,-36.3891008806375,-36.3606527761163,-36.4686072722939,-36.4637921693367,-36.5686192917533,-36.6229070519041,-36.5727307628361,-36.3247255880338,-36.6042927888366,-36.5480436308221,-36.139280432694,-36.4293175261911,-36.3923838574957,-36.3530658835014,-36.3105018688729,-36.3066842999679,-36.3432287265104,-36.4285019032307,-36.4478459223803,-36.5724002522245,-36.6007015117276,-36.6967630061553,-36.8603614812039,-36.7597383440285,-36.8134304403425,-36.6185141528877,-36.6386039127784,-36.6795595806607,-36.8044485547295,-36.7725711325574,-36.713348672061,-36.7101508970191,-36.7167884057913,-36.7536018066316,-36.8097769816333,-36.8451581393729,-36.865553326863,-36.842808053943
-36.514351361406,-36.375,-36.375,-36.375,-36.375,-36.5940448719247,-36.4872390870107,-36.625,-36.875,-36.3924251361811,-36.3848750696743,-36.375,-36.5145848393992,-36.5059225844749,-36.875,-36.875,-36.875,-36.875,-36.875,-36.875,-36.875,-37.0196443319311,-37.017399841094,-37.0402590895226,-37.125,-37.2586194660309,-37.0501033424993,-37.375,-36.6973168470095,-37.375,-37.375,-37.125,-36.3854086977179,-36.1758749406845,-36.1476738125143,-36.1429037432341,-36.1286179293381,-36.2415427365292,-36.2387166461555,-36.5037289156365,-36.6582169090496,-36.6411655791301,-36.5220842715847,-36.625,-36.625,-36.625,-36.625,-36.625,-36.4219576213429,-36.4069551313116,-36.3915944609786,-36.3829119709999,-36.429286155981,-36.375,-36.375,-36.2469809722565,-36.220816741594,-36.1991202770941,-36.375,-36.125,-36.375,-36.125,-36.375,-36.375,-36.375,-36.375,-36.375,-36.1757620288314,-36.375,-36.375,-36.125,-36.375,-36.375,-36.1385011989244,-36.125,-36.125,-36.1388623317751,-36.375,-36.375,-36.375,-36.375,-36.625,-36.625,-36.625,-36.625,-36.516232975579,-36.625,-36.625,-36.625,-36.625,-36.625,-36.625,-36.625,-36.6588328907415,-36.7224102523179,-36.7671494670275,-36.7865149957553,-36.7990119367571
-36.625,-36.4859653142492,-36.2879928782945,-36.2701736300398,-36.4904008271228,-36.625,-36.625,-36.4520631769138,-36.625,-36.518620894013,-36.509468516132,-36.125,-36.625,-36.6178393659135,-36.7905584350209,-36.788397013976,-36.767954638164,-36.8553238178262,-36.7942263604895,-36.8375206771525,-36.8343488345029,-36.9851967771697,-36.983149222913,-36.9824901252342,-37.1200786110116,-37.1587835003986,-37.1232398994323,-37.3381779449741,-36.875,-37.3318090628068,-37.227898269635,-36.875,-36.4640384377561,-36.1743460908545,-36.2415282189204,-36.2187376113196,-36.2409442764608,-36.375,-36.3742719674226,-36.5530170421908,-36.6420597022013,-36.6361020835707,-36.5000268199181,-36.5501039366359,-36.5391122096392,-36.5961373167111,-36.5739301449186,-36.5027840680676,-36.3999251891412,-36.3928910410381,-36.3962808052293,-36.4049201533829,-36.4093214781888,-36.3662931257944,-36.2985801261134,-36.228954705265,-36.1916897978204,-36.1380703254569,-36.125,-36.1101420743009,-36.1434651705425,-36.0985478691827,-36.158246085558,-36.156631921741,-36.2316460759841,-36.2776017031931,-36.259817415899,-36.1421093688271,-36.2695682081971,-36.2373592689014,-36.009779763105,-36.1809040152016,-36.1602247999226,-36.125,-36.1210302469792,-36.1061349121531,-36.125,-36.2160978643669,-36.233187726259,-36.3259046984875,-36.3681677676024,-36.4257042553153,-36.4729732248699,-36.4971491893138,-36.5600178022289,-36.4767822299027,-36.5310260718284,-36.5591088729765,-36.5660145170954,-36.5898959252371,-36.5855838092415,-36.6039090056756,-36.6215500594238,-36.6504573974544,-36.7220651108301,-36.7733256454598,-36.7794641580526,-36.8158944516985
-36.875,-36.625,-36.375,-36.375,-36.625,-36.875,-36.875,-36.5630290046023,-36.5611997072593,-36.625,-36.625,-35.875,-36.6557394953773,-36.625,-36.734290855219,-36.724997966366,-36.7129085790413,-36.7724701670475,-36.739668259811,-36.7952363747581,-36.8352474505727,-36.9838117856141,-36.9377392798477,-36.931195936066,-37.0596497167413,-37.125,-37.125,-37.2738482017246,-36.8786663039368,-37.1925289260734,-37.125,-36.6770422355672,-36.5277793538899,-36.3180307149969,-36.375,-36.375,-36.375,-36.3930540301408,-36.375,-36.5870251651539,-36.6299478452292,-36.6379752889086,-36.4813257783396,-36.4819055192371,-36.4629614909379,-36.5149605724311,-36.4979182155231,-36.4645643182826,-36.437120151695,-36.4349775095665,-36.4530617534295,-36.4772044052342,-36.4589392907543,-36.336368570065,-36.2700638152877,-36.2950179848028,-36.2312477489345,-36.1623972606418,-36.0966108552355,-36.0327895461022,-36.125,-35.9830600018865,-36.125,-36.125,-36.125,-36.1380753034353,-36.125,-36.375,-36.125,-36.125,-36.0534234514881,-36.125,-36.125,-36.021424392718,-36.0304978591882,-36.0590353817061,-36.0720347729314,-36.125,-36.126057027753,-36.2263812127416,-36.27059711735,-36.375,-36.375,-36.3880239189383,-36.4474887647164,-36.514406157267,-36.4923539972068,-36.5140840086508,-36.5399808623047,-36.5729020068389,-36.5772857618164,-36.5972927772011,-36.6196625722414,-36.7100905629113,-36.7789014157384,-36.8245495302545,-36.82576584911,-36.8540770297783
-37.1248808217635,-36.875,-36.410981374395,-36.4290572460767,-36.875,-37.061743834911,-37.125,-36.625,-36.4136092594177,-36.8672179856271,-36.7783745144189,-35.7709859959979,-36.8062087777062,-36.7225094496866,-36.7009374537956,-36.7007449882209,-36.6866876085732,-36.7342529039403,-36.7337231697244,-36.8366771965632,-36.875,-37.125,-36.9015277659052,-36.899366634235,-37.0017831509263,-37.0699105861507,-37.2674387438464,-37.125,-37.015691019509,-37.125,-36.9843850754927,-36.668763721172,-36.5632789229032,-36.375,-36.4408018739555,-36.3937502409902,-36.4196701323325,-36.4716774973481,-36.4432758744258,-36.625,-36.6761257534193,-36.7357551457957,-36.5332233540504,-36.4636456376355,-36.4394661153103,-36.4966756302449,-36.4805180503912,-36.500117078324,-36.5586845422313,-36.5720310416235,-36.6150430580965,-36.625,-36.625,-36.3702733835189,-36.3132954756172,-36.375,-36.375,-36.375,-36.0798974308964,-36.0524895714486,-36.0195199471437,-35.9754595128449,-36.0265772860928,-36.0302986213413,-36.0905237539087,-36.140754999387,-36.1018128591197,-36.625,-36.1060147247231,-36.075503297241,-36.125,-36.044986185037,-36.0283655792195,-36.0097198220662,-36.0450035414861,-36.1126714566318,-36.1116010409786,-36.1224367077795,-36.125,-36.1926101066716,-36.2256881239938,-36.3213079624875,-36.3611679664088,-36.375,-36.3987960454501,-36.625,-36.5386256958979,-36.5381183632101,-36.5847941745764,-36.6203429265499,-36.625,-36.625,-36.625,-36.7948290089115,-36.8527494470579,-36.875,-36.875,-36.875
-37.0128733214837,-37.1246752558983,-36.625,-36.625,-37.125,-37.125,-37.2675279084958,-36.875,-36.564507135849,-36.875,-36.875,-35.6436155483186,-36.875,-36.8695044349883,-36.875,-36.6756341306997,-36.6581760458971,-36.7345900360279,-36.7540018367036,-36.875,-36.8828446480234,-37.375,-36.8910916441901,-37.125,-36.9800485477215,-37.0310146376614,-37.3382248292662,-37.1236023366811,-37.125,-36.9922753711666,-36.875,-36.6489992213485,-36.625,-36.4389811947907,-36.5444655014258,-36.5041128086649,-36.5337437697154,-36.5115559151368,-36.4826297016029,-36.7124053539438,-36.875,-36.875,-36.625,-36.4511156150258,-36.4422387645153,-36.5252998058952,-36.5263957724964,-36.6174235709105,-36.625,-36.625,-36.625,-36.6841462661237,-36.8413532135647,-36.375,-36.375,-36.625,-36.5826378280682,-36.6151489870506,-36.125,-36.125,-36.0073210880209,-36.125,-36.0093211342554,-36.0200069785823,-36.0764425824085,-36.375,-36.0332257440374,-36.8373308905939,-36.0583725932228,-36.0265996022841,-36.2110988327651,-36.0053101600019,-36.0018198610347,-36.125,-36.125,-36.125,-36.125,-36.1238923519834,-36.0989300979848,-36.2477122132716,-36.2583517140227,-36.2911883256054,-36.3347898046892,-36.3536507061511,-36.4403676648995,-36.875,-36.625,-36.625,-36.625,-36.625,-36.6259437016994,-36.6530198614212,-36.6891307732957,-36.8736407013256,-36.875,-37.125,-37.125,-37.0401150059665
-36.875,-37.0484769604604,-36.75181915159,-36.7355802008541,-37.129059353817,-37.2972542042753,-37.125,-37.0819024566351,-36.625,-37.125,-37.0449485010778,-35.875,-37.125,-36.875,-37.125,-36.875,-36.875,-36.875,-36.875,-37.125,-36.980073193481,-37.4641342431507,-37.125,-37.375,-37.125,-37.125,-37.375,-37.0154132853603,-37.1715910553903,-36.875,-36.8265276567934,-36.6947849432513,-36.875,-36.5375499839877,-36.619521074352,-36.5849505413015,-36.6093161081342,-36.6229330532018,-36.5809865082333,-36.875,-37.125,-37.125,-36.875,-36.5169864295854,-36.5637722178417,-36.625,-36.625,-36.625,-36.875,-36.875,-36.875,-36.875,-36.875,-36.625,-36.625,-36.875,-36.625,-36.625,-36.1577137299278,-36.375,-36.125,-36.2556269527508,-36.125,-36.125,-36.125,-36.625,-36.125,-36.875,-36.125,-36.125,-36.375,-36.125,-36.125,-36.1708605897137,-36.2376052884929,-36.2748509353596,-36.2558697492222,-36.125,-36.125,-36.375,-36.375,-36.3186736632918,-36.3636820067738,-36.375,-36.625,-37.125,-36.875,-36.7772702285576,-36.7127116748849,-36.7550024713682,-36.7506060732493,-36.764292739957,-36.7939015036489,-36.875,-37.125,-37.1611020833228,-37.1453390327832,-37.1001812607069
-36.625,-36.875,-36.875,-36.875,-37.3512086163541,-37.125,-37.0783721586649,-37.125,-36.875,-37.375,-37.125,-36.1109488726724,-37.375,-37.125,-37.1959508375787,-37.125,-37.1166346553186,-37.125,-37.125,-37.2925211416107,-37.125,-37.499777050902,-37.375,-37.4396707869371,-37.375,-37.375,-37.3765217671793,-36.8966406881224,-37.2884883376137,-36.854364847038,-36.7314685235632,-36.875,-37.125,-36.625,-36.625,-36.625,-36.625,-36.625,-36.625,-37.125,-37.375,-37.375,-37.125,-36.625,-36.625,-36.7725526363139,-36.8170733311306,-36.875,-37.125,-37.125,-37.125,-37.125,-36.9216545646964,-36.7843925705423,-36.875,-37.125,-36.875,-36.6357110220164,-36.3542571593221,-36.5321286236527,-36.3183090511619,-36.375,-36.375,-36.375,-36.375,-36.875,-36.2537269616146,-37.0106007306291,-36.253632895147,-36.1720445712657,-36.4956835078732,-36.1314949865394,-36.1541377069286,-36.375,-36.375,-36.375,-36.375,-36.2253165742304,-36.143724420345,-36.625,-36.625,-36.375,-36.375,-36.3813562145389,-36.875,-37.2123509741042,-37.125,-36.875,-36.875,-36.875,-36.875,-36.875,-36.875,-37.125,-37.1662137779197,-37.1970418901344,-37.1667915870202,-37.125
-36.3764772326748,-36.625,-37.0561834809138,-37.0102704003618,-37.125,-36.875,-36.875,-37.2674466374893,-37.0604772444167,-37.556146257969,-37.375,-36.125,-37.5100447259908,-37.375,-37.375,-37.1591052048028,-37.125,-37.2642395568214,-37.2111359334021,-37.375,-37.375,-37.476756456482,-37.422283329882,-37.5379579835509,-37.4284696921377,-37.4196741504788,-37.625,-37.125,-37.375,-36.7567954896248,-36.875,-37.125,-37.375,-36.875,-36.875,-36.875,-36.875,-36.875,-36.875,-37.2439986321941,-37.625,-37.625,-37.375,-36.875,-36.875,-36.875,-36.875,-37.125,-37.375,-37.375,-37.3288361732698,-37.2327690143023,-37.125,-36.875,-37.125,-37.2955665236748,-36.9079879097956,-36.875,-36.375,-36.625,-36.375,-36.5441118169364,-36.625,-36.625,-36.625,-36.888736281591,-36.375,-37.0737451232183,-36.375,-36.375,-36.625,-36.375,-36.375,-36.625,-36.625,-36.625,-36.625,-36.375,-36.3261126164545,-36.875,-36.875,-36.625,-36.625,-36.625,-37.125,-37.3003477675488,-37.2722876819325,-37.0670895507661,-37.125,-37.125,-37.125,-37.125,-37.125,-37.163466799634,-37.2145795043591,-37.2057995664327,-37.1668438810407,-37.1327397141887
NaN,-36.375,-37.125,-37.125,-36.875,-36.625,-36.625,-37.3687436479828,-37.125,-37.4881699222272,-37.5050115390774,-36.375,-37.5048678400622,-37.4025508152169,-37.4075857261556,-37.375,-37.3556878888166,-37.375,-37.375,-37.432870681606,-37.4469090998797,-37.4283709564999,-37.5366620074817,-37.5884556683746,-37.5188721215493,-37.4843993045273,-37.7795306324256,-37.375,-37.3994045116538,-36.875,-37.125,-37.3613351285577,-37.5065160397848,-37.125,-37.125,-37.125,-37.125,-37.125,-37.125,-37.375,-37.6622574063171,-37.6349665878264,-37.625,-37.125,-37.125,-37.125,-37.125,-37.375,-37.4714638728943,-37.4088368232344,-37.375,-37.375,-37.3040427084886,-36.9484970135944,-37.2873989408397,-37.3655788955374,-37.125,-37.125,-36.625,-36.6433079774161,-36.5329247860489,-36.625,-36.875,-36.875,-36.875,-37.1233854356886,-36.4895043106615,-36.875,-36.5854869113151,-36.625,-36.875,-36.625,-36.625,-36.875,-36.875,-36.875,-36.875,-36.625,-36.375,-37.0264126601892,-37.1053513981485,-36.875,-36.875,-36.875,-37.2322636695207,-37.3012781901903,-37.3488821855367,-37.125,-37.2449359679243,-37.2492707209082,-37.2725160598797,-37.2741625898806,-37.2531069602191,-37.2381708693238,-37.2619286838876,-37.1441432596951,-37.125,-37.125
NaN,-36.3435539970007,-37.3168818992991,-37.2161791161659,-36.625,-36.4333742417486,-36.5799967261365,-37.125,-37.3205426811693,-37.375,-37.5716912953379,-36.4069452973217,-37.3775624781418,-37.524685947733,-37.4493130129002,-37.389391553094,-37.375,-37.4285066484896,-37.4093415363997,-37.4731953620338,-37.5258882614079,-37.375,-37.5822780776662,-37.625,-37.5830109684208,-37.5355025017068,-37.686646019514,-37.3960480442386,-37.625,-37.125,-37.375,-37.375,-37.625,-37.2497130727252,-37.3306648316316,-37.375,-37.375,-37.2200083062763,-37.2939295876309,-37.4964901526965,-37.7406254148843,-37.7258799160862,-37.6593732410103,-37.375,-37.375,-37.375,-37.303795160041,-37.4697263900403,-37.5442224121458,-37.5094109389283,-37.4725930628254,-37.4239574364944,-37.3595937051532,-37.125,-37.3638423767254,-37.2845216457921,-37.2923266714249,-37.2232507626607,-36.875,-36.875,-36.625,-36.875,-37.0264385853547,-36.9944500696739,-36.9374021593552,-37.125,-36.625,-36.625,-36.625,-36.6494122453453,-37.0972591262399,-36.8000369809894,-36.8457403038812,-36.8814063806241,-36.901561605082,-36.938413787299,-36.9520033043034,-36.875,-36.625,-37.125,-37.125,-37.1220633569828,-37.125,-37.125,-37.3171538368218,-37.2060594213054,-37.3331003875795,-37.316937059574,-37.3567744174105,-37.3630231178166,-37.375,-37.375,-37.3603480004799,-37.3214068350994,-37.2756630398007,-37.125,-36.9636894271378,-37.0267045457935
NaN,NaN,-37.125,-37.3738298695613,-36.375,NaN,NaN,-36.875,-37.375,-37.3215504389066,-37.4492281476919,-36.6170564572628,-37.375,-37.487783854398,-37.375,-37.4675395464275,-37.4578829345295,-37.4768942082011,-37.4750083731718,-37.4633607938714,-37.54142324175,-37.125,-37.5994986170608,-37.6299448702912,-37.625,-37.625,-37.625,-37.4762500596226,-37.875,-37.375,-37.5490309724665,-37.625,-37.7318394874608,-37.375,-37.375,-37.3932790089014,-37.4093781036813,-37.375,-37.375,-37.625,-37.6456015537305,-37.6452326958194,-37.7639698930913,-37.625,-37.5803577229355,-37.3791407427623,-37.375,-37.5322255875125,-37.5186255281795,-37.504417325641,-37.4806484592061,-37.4535071625831,-37.2583641956395,-37.3139566482139,-37.2882702572317,-37.125,-37.3581757382264,-37.324838267499,-37.1059213471947,-37.125,-36.875,-37.0603281612052,-37.125,-37.125,-37.125,-37.2938596304986,-36.875,-36.375,-36.875,-36.875,-37.0873523454255,-36.875,-36.875,-36.9939438978859,-36.9976684765737,-37.0221011332269,-37.0350526923829,-37.0690289178827,-36.875,-37.1736555848083,-37.2144255470172,-37.125,-37.1553857249134,-37.2023157088242,-37.3220126869816,-37.125,-37.2310292759308,-37.375,-37.375,-37.375,-37.3787008430985,-37.3781767710349,-37.375,-37.375,-37.2090381731457,-36.875,-36.875,-36.875
NaN,NaN,-37.1115035536116,-37.125,-36.3186302461781,NaN,NaN,-36.7128819277323,-37.5095273279111,-37.125,-37.375,-36.625,-37.1431678541438,-37.375,-37.3353079580904,-37.4663231293139,-37.4815156758718,-37.4772259395466,-37.5005350525832,-37.375,-37.5012142361007,-37.0474840208447,-37.5578457056427,-37.625,-37.6484856260366,-37.6547287290682,-37.540833719984,-37.5410047580724,-37.9569541738978,-37.4999236308457,-37.625,-37.6684484049811,-37.8625078758361,-37.625,-37.625,-37.625,-37.625,-37.4834558612659,-37.5249631588607,-37.6815906072599,-37.625,-37.625,-37.6901820078307,-37.6759600453417,-37.625,-37.5955329808867,-37.5608937601661,-37.4893389747093,-37.385794735124,-37.375,-37.375,-37.375,-37.125,-37.3736557225489,-37.125,-37.0409941813111,-37.287359814553,-37.2900949033624,-37.125,-37.1479160775999,-37.0998684185406,-37.125,-37.2525704629038,-37.2387340233168,-37.1753429377645,-37.3454046603308,-36.9251426828822,-36.3247255880338,-36.878906738898,-36.8790382098852,-37.0185131699219,-36.9505302830808,-36.974785721098,-37.0551107727853,-37.0447642189714,-37.0434175520588,-37.0589149149496,-37.125,-36.9756840344309,-37.1787941482726,-37.2060325933914,-37.2407321355705,-37.2652609043241,-37.3017409810455,-37.2409950558128,-36.875,-37.125,-37.3808311090309,-37.3899866006706,-37.3946403392134,-37.4115603267605,-37.417419144539,-37.4148802336632,-37.3923257937071,-37.125,-36.8451581393729,-36.865553326863,-36.842808053943
NaN,NaN,-36.875,-36.875,NaN,NaN,NaN,NaN,-37.6095488852045,-37.0783248785677,-37.2489027749823,-36.8551125616981,-37.125,-37.3430618765218,-37.125,-37.375,-37.4504813996099,-37.4156882259501,-37.4768591076249,-37.125,-37.3882734061785,NaN,-37.37969245812,-37.6083439887686,-37.6593834066128,-37.7124894026762,-37.4834831013721,-37.625,-37.9392588701715,-37.625,-37.7156970948405,-37.7985432873615,-37.875,-37.6393896537014,-37.641098988564,-37.6482642739632,-37.6634736971967,-37.625,-37.625,-37.8001244361954,-37.4682982980836,-37.4797750820963,-37.625,-37.7803473703776,-37.7151596377842,-37.6122930724581,-37.5924934589022,-37.375,-37.375,-37.3747820664855,-37.3568196950945,-37.3355958585635,-36.9581704021846,-37.2755239782748,-37.032330532781,-36.875,-37.125,-37.125,-37.3076150589336,-37.3105081030253,-37.125,-37.2660132567439,-37.3338146388936,-37.3704560604999,-37.3388002058035,-37.125,-37.125,NaN,-37.0331846385321,-37.0251912468207,-36.9098484908057,-37.0412766444765,-37.0459670909536,-37.0655375500358,-37.0495718963655,-37.0069890753659,-37.0288571129591,-37.1582947880468,-37.125,-37.125,-37.125,-37.251787262541,-37.2679027283572,-37.3181344771075,-37.125,-36.625,-36.875,-37.375,-37.375,-37.375,-37.3838472966101,-37.398148582901,-37.4049300102141,-37.3945999351014,-36.875,NaN,NaN,NaN
